"","ranking","power_index","state","sex"
"724",724,25.49,"AZ","F"
"725",725,25.55,"NC","F"
"726",726,25.59,"NY","F"
"727",727,25.6,"CA","F"
"728",728,25.62,"TN","F"
"729",729,25.63,"MI","F"
"730",730,25.64,"AZ","F"
"731",731,25.65,"LA","F"
"732",732,25.68,"MI","F"
"733",733,25.7,"ND","F"
"734",734,25.71,"MN","F"
"735",735,25.74,"MA","F"
"736",736,25.76,"PA","F"
"737",737,25.78,"WI","F"
"738",737,25.78,"IN","F"
"739",739,25.8,"VA","F"
"740",740,25.83,"MN","F"
"741",740,25.83,"IL","F"
"742",742,25.9,"IL","F"
"743",742,25.9,"MN","F"
"744",744,25.91,"CA","F"
"745",745,25.92,"CA","F"
"746",746,25.94,"CO","F"
"747",747,25.99,"TX","F"
"748",748,26.03,"SD","F"
"749",749,26.05,"MO","F"
"750",749,26.05,"MI","F"
"751",751,26.06,"NC","F"
"752",752,26.13,"IN","F"
"753",753,26.14,"OH","F"
"754",754,26.15,"SC","F"
"755",754,26.15,"AR","F"
"756",754,26.15,"MS","F"
"757",757,26.16,"OH","F"
"758",757,26.16,"AZ","F"
"759",759,26.19,"IL","F"
"760",759,26.19,"NJ","F"
"761",761,26.2,"CA","F"
"762",761,26.2,"CO","F"
"763",763,26.21,"FL","F"
"764",764,26.22,"PA","F"
"765",765,26.23,"OH","F"
"766",766,26.24,"CA","F"
"767",767,26.29,"CO","F"
"768",767,26.29,"FL","F"
"769",769,26.3,"CT","F"
"770",770,26.32,"OR","F"
"771",770,26.32,"CA","F"
"772",772,26.33,"SC","F"
"773",773,26.35,"OH","F"
"774",773,26.35,"NC","F"
"775",773,26.35,"VA","F"
"776",776,26.36,"NJ","F"
"777",777,26.37,"MD","F"
"778",778,26.39,"PA","F"
"779",779,26.41,"OH","F"
"780",780,26.42,"MT","F"
"781",781,26.43,"MO","F"
"782",781,26.43,"FL","F"
"783",783,26.44,"CA","F"
"784",784,26.47,"IL","F"
"785",784,26.47,"GA","F"
"786",786,26.48,"WA","F"
"787",786,26.48,"MD","F"
"788",788,26.49,"WI","F"
"789",788,26.49,"SC","F"
"790",790,26.5,"FL","F"
"791",791,26.51,"CO","F"
"792",792,26.53,"NE","F"
"793",792,26.53,"OH","F"
"794",794,26.55,"VA","F"
"795",795,26.57,"TN","F"
"796",796,26.63,"CA","F"
"797",797,26.65,"MO","F"
"798",797,26.65,"NY","F"
"799",797,26.65,"CT","F"
"800",800,26.67,"FL","F"
"801",801,26.69,"TN","F"
"802",801,26.69,"CA","F"
"803",803,26.7,"MD","F"
"804",803,26.7,"TX","F"
"805",805,26.76,"KS","F"
"806",806,26.77,"FL","F"
"807",806,26.77,"NY","F"
"808",808,26.81,"VA","F"
"809",808,26.81,"NE","F"
"810",810,26.82,"MD","F"
"811",811,26.85,"MA","F"
"812",812,26.87,"KY","F"
"813",813,26.88,"GA","F"
"814",814,26.9,"TX","F"
"815",815,26.96,"VA","F"
"816",816,27,"NC","F"
"817",817,27.02,"NC","F"
"818",817,27.02,"GA","F"
"819",819,27.04,"MA","F"
"820",820,27.05,"FL","F"
"821",820,27.05,"NE","F"
"822",822,27.11,"WA","F"
"823",822,27.11,"KS","F"
"824",824,27.12,"PA","F"
"825",825,27.13,"CT","F"
"826",826,27.15,"CA","F"
"827",827,27.17,"NC","F"
"828",827,27.17,"CT","F"
"829",829,27.18,"TX","F"
"830",829,27.18,"AL","F"
"831",831,27.22,"NY","F"
"832",832,27.26,"FL","F"
"833",833,27.28,"NJ","F"
"834",834,27.29,"MI","F"
"835",835,27.31,"TN","F"
"836",836,27.35,"TX","F"
"837",836,27.35,"AZ","F"
"838",838,27.36,"AZ","F"
"839",839,27.38,"NY","F"
"840",840,27.39,"MN","F"
"841",840,27.39,"VA","F"
