"endTime","artistName","trackName","msPlayed"
"2023-11-09 15:07","Drake","Another Late Night (feat. Lil Yachty)",99555
"2023-11-09 15:08","21 Savage","a lot",6617
"2023-11-09 15:08","Jack Harlow","They Don't Love It",14140
"2023-11-09 15:12","Travis Scott","SKITZO (feat. Young Thug)",288740
"2023-11-09 20:56","Drake","7969 Santa",183274
"2023-11-09 20:56","Don Toliver","Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)",7674
"2023-11-09 20:59","Future","The Percocet & Stripper Joint",148453
"2023-11-09 21:02","Migos","Need It (feat. YoungBoy Never Broke Again)",195680
"2023-11-09 21:03","Future","Married To The Game",36555
"2023-11-09 21:06","Offset","DON'T YOU LIE",191466
"2023-11-09 21:33","Gunna","back to the moon",74910
"2023-11-09 21:35","Offset","ON THE RIVER",96013
"2023-11-09 21:35","A Boogie Wit da Hoodie","Did Me Wrong",5143
"2023-11-09 21:35","NLE Choppa","CMON FREESTYLE",5317
"2023-11-09 21:37","Travis Scott","FE!N (feat. Playboi Carti)",111316
"2023-11-09 22:35","Drake","Calling For You (feat. 21 Savage)",285630
"2023-11-09 22:37","Drake","Amen (feat. Teezo Touchdown)",141212
"2023-11-09 22:38","Future","Throw Away",20604
"2023-11-09 22:38","Brent Faiyaz","Outside All Night (feat. A$AP Rocky & N3WYRKLA)",11563
"2023-11-09 22:38","Lil Yachty","TESLA",3993
"2023-11-09 22:40","A Boogie Wit da Hoodie","Booby Trap",17484
"2023-11-09 22:40","Future","My Collection",3947
"2023-11-09 22:40","Drake","Look What You've Done",94969
"2023-11-09 22:40","Gucci Mane","There I Go (feat. J. Cole & Mike WiLL Made-It)",6176
"2023-11-09 22:41","Brent Faiyaz","Upset (feat. Tommy Richman & FELIX!)",10031
"2023-11-09 22:41","Turbo","Bachelor",66153
"2023-11-09 22:44","21 Savage","pad lock",191359
"2023-11-10 01:40","Travis Scott","I KNOW ?",211582
"2023-11-10 02:00","Ken Carson","Fighting My Demons",150401
"2023-11-10 02:01","Frank Ocean","White Ferrari",74788
"2023-11-10 02:05","Brent Faiyaz","JACKIE BROWN",9473
"2023-11-10 02:05","Frank Ocean","Crack Rock",1068
"2023-11-10 02:05","Frank Ocean","Pink Matter",1021
"2023-11-10 02:05","Drake","Jungle",241394
"2023-11-10 02:07","Tyler, The Creator","She",127106
"2023-11-10 02:12","Kendrick Lamar","Poetic Justice",300160
"2023-11-10 02:13","Saba","an Interlude Called “Circus” (feat. Eryn Allen Kane)",62973
"2023-11-10 02:57","A$AP Ferg","Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",114499
